Threshold,Malicious Rate,Gossipers Rate,Correct Info
0.1,1,1,"[1, 2, 3]"
0.1,1,4,"[4, 5, 8]"
0.1,1,8,"[8, 14, 20, 27, 36, 64, 100, 244, 714, 957, 1697, 1806, 1811, 1812]"
0.1,1,16,"[16, 31, 39, 50, 102, 298, 737, 1333, 1717, 1809, 1811, 1812]"
0.1,1,32,"[32, 76, 124, 299, 780, 1471, 1747, 1835, 1837, 1838]"
0.1,4,1,[1]
0.1,4,4,[4]
0.1,4,8,"[8, 12]"
0.1,4,16,"[16, 33, 45, 77, 123, 186, 520, 1094, 1713, 1809]"
0.1,4,32,"[32, 51, 65, 132, 226, 763, 1600, 1806, 1811]"
0.1,8,1,"[1, 2, 4]"
0.1,8,4,"[4, 6, 7]"
0.1,8,8,"[8, 55, 58, 59]"
0.1,8,16,"[16, 24, 31, 35, 48, 85, 280, 464, 1209, 1641, 1799, 1804, 1805]"
0.1,8,32,"[32, 41, 57, 84, 260, 451, 912, 1615, 1801, 1826, 1826]"
0.1,16,1,"[1, 2, 3]"
0.1,16,4,"[4, 5]"
0.1,16,8,"[8, 114, 146, 455, 999, 1234, 1644, 1794, 1800]"
0.1,16,16,"[16, 29, 45, 95, 221, 448, 1421, 1702, 1799, 1801, 1801]"
0.1,16,32,"[32, 42, 48, 65, 72, 102, 175, 361, 1084, 1508, 1792, 1796, 1797]"
0.1,32,1,[1]
0.1,32,4,"[4, 21, 28, 37, 76, 175, 690, 1234, 1674, 1778, 1780, 1781]"
0.1,32,8,"[8, 9]"
0.1,32,16,"[16, 46, 53, 113, 153, 293, 372, 632, 1056, 1260, 1748, 1804, 1809]"
0.1,32,32,"[32, 38, 43, 47, 55, 57, 58]"
0.2,1,1,[1]
0.2,1,4,[4]
0.2,1,8,"[8, 11]"
0.2,1,16,"[16, 22, 23, 24]"
0.2,1,32,"[32, 49, 51]"
0.2,4,1,[1]
0.2,4,4,[4]
0.2,4,8,"[8, 9]"
0.2,4,16,"[16, 24, 25]"
0.2,4,32,"[32, 49, 52, 53]"
0.2,8,1,[1]
0.2,8,4,[4]
0.2,8,8,"[8, 12, 18, 20, 21, 23, 24]"
0.2,8,16,"[16, 20]"
0.2,8,32,"[32, 69, 74, 80, 83]"
0.2,16,1,[1]
0.2,16,4,"[4, 6, 9]"
0.2,16,8,"[8, 29, 31]"
0.2,16,16,"[16, 19, 23]"
0.2,16,32,"[32, 44, 51, 53]"
0.2,32,1,[1]
0.2,32,4,"[4, 25, 30, 36, 37, 40, 41, 42]"
0.2,32,8,"[8, 30, 31, 32]"
0.2,32,16,"[16, 17]"
0.2,32,32,"[32, 33]"
0.3,1,1,[1]
0.3,1,4,[4]
0.3,1,8,"[8, 11]"
0.3,1,16,"[16, 263, 276, 282]"
0.3,1,32,"[32, 37]"
0.3,4,1,"[1, 3]"
0.3,4,4,[4]
0.3,4,8,"[8, 26]"
0.3,4,16,"[16, 18, 19]"
0.3,4,32,"[32, 48, 52]"
0.3,8,1,[1]
0.3,8,4,[4]
0.3,8,8,"[8, 9]"
0.3,8,16,"[16, 67]"
0.3,8,32,"[32, 50, 52]"
0.3,16,1,[1]
0.3,16,4,"[4, 5]"
0.3,16,8,"[8, 14]"
0.3,16,16,"[16, 22]"
0.3,16,32,"[32, 65]"
0.3,32,1,[1]
0.3,32,4,"[4, 9]"
0.3,32,8,[8]
0.3,32,16,"[16, 76, 77]"
0.3,32,32,"[32, 37]"
0.4,1,1,[1]
0.4,1,4,"[4, 6]"
0.4,1,8,[8]
0.4,1,16,"[16, 22]"
0.4,1,32,"[32, 37, 38]"
0.4,4,1,[1]
0.4,4,4,[4]
0.4,4,8,"[8, 12]"
0.4,4,16,"[16, 19]"
0.4,4,32,"[32, 44]"
0.4,8,1,[1]
0.4,8,4,"[4, 6]"
0.4,8,8,[8]
0.4,8,16,"[16, 24]"
0.4,8,32,"[32, 40]"
0.4,16,1,[1]
0.4,16,4,"[4, 5]"
0.4,16,8,[8]
0.4,16,16,"[16, 17]"
0.4,16,32,"[32, 248, 255, 258]"
0.4,32,1,[1]
0.4,32,4,[4]
0.4,32,8,"[8, 10]"
0.4,32,16,"[16, 42, 43, 44]"
0.4,32,32,"[32, 64, 65]"
0.5,1,1,[1]
0.5,1,4,[4]
0.5,1,8,"[8, 10]"
0.5,1,16,"[16, 17]"
0.5,1,32,"[32, 71]"
0.5,4,1,"[1, 2]"
0.5,4,4,[4]
0.5,4,8,"[8, 14]"
0.5,4,16,"[16, 20]"
0.5,4,32,"[32, 34]"
0.5,8,1,[1]
0.5,8,4,[4]
0.5,8,8,"[8, 10]"
0.5,8,16,"[16, 20]"
0.5,8,32,"[32, 62, 63]"
0.5,16,1,[1]
0.5,16,4,[4]
0.5,16,8,"[8, 10, 11]"
0.5,16,16,"[16, 19]"
0.5,16,32,"[32, 35]"
0.5,32,1,[1]
0.5,32,4,"[4, 40]"
0.5,32,8,[8]
0.5,32,16,[16]
0.5,32,32,"[32, 40, 41]"
